BASE DE DATOS,,,,,
,,,,,
,,,,,
,,,,,
CC/NIT,NOMBRE COMPLETO,DIRECCION,CIUDAD,TELEFONO,CORREO ELECTRONICO
456789,ADAM LEVING,CALLE 20 #35,CATALUNA,5678905643,ADLEVI@GMAIL.COM
786455,ANDREA LLAMAS,CALLE 4 #9,ZACATECAS,512121212,ANDYLLA@GMAIL.COM
999999,CARLOS ESPEJEL,CALLE 12 #67,CHIHUAHUA,5467980712,CARLES@GMAIL.COM
98765,CARMEN VILLALOBOS,CALLE 9 #15,MICHIGAN,3456234512,CARVI@GMAIL.COM
567309,FELIPE ANGELES,CALLE 23 #15,CATAMARA,5646453456,FEANG@GMAIL.COM
656740,FERNANDO JULIOS,CALLE 12 #7,SAN LUIS,6666666666,FERJU@GMAIL.COM
951928,GALILEA MONTIJO,CALLE 4 #3,BERMUDAS,7364895768,GALIMON@GMAIL.COM
678456,HERNAN HERRERA,CALLE 9 #2,GALTA,7652890712,HERHER@GMAIL.COM
612455,KAREN ORTIZ,CALLE 4 #9,COLIMA,9987654322,KAROR@GMAIL.COM
851925,LORENA PERALTA ,CALLE 10 #1,JALISCO,6754999999,LORPE@GMAIL.COM
786543,LUISA HULU,CALLE 12 #38,LOS CABOS,9101010101,LUHU@GMAIL.COM
675439,NARLA ARREDONDO,CALLE 1 #25,QUERETARO,5678932113,NAARA@GMAIL.COM
876598,NORA OROZCO,CALLE 6 #91,IRAPUATO,4444445555,NORO@GMAIL.COM
879654,PAOLA DURAN,CALLE 13 #3,GUANAJUATO,8888888888,PAUDU@GMAIL.COM
234123,RENE APARICIO,CALLE 23 #8,CALI,5640912781,REAP@GMAIL.COM
787654,ROBERTO GOMEZ,CALLE 22 #3,SONORA,987654327,ROBERTGO@GMAIL.COM
567567,SANTIAGO DORANTES,CALLE 4 #25,CULIACAN,7678598034,SANTYDO@GMAIL.COM
890612,SELENA GOMEZ,CALLE 2 #53,CATARATAS,5463728888,SELGOM@GMAIL.COM
123456,SERGIO ALVAREZ,CALLE 11 #12,BOGOTA,726321,SERGIO@GMAIL.COM
54321,YAMIT RODRIGUEZ,CALLE 10 #11,BARRANQUILLA,55555,YRODRIGUEZ
